CL_NM,TRRSRT_NM
공연전시,그대나의뮤즈
공연전시,그리스신화박물관
공연전시,그림포레스트
공연전시,유리의성&마법의숲
공연전시,캐릭파크
교육_체험,곱은달감귤체험농장
교육_체험,농업법인 우주주식회사
교육_체험,블루마운틴4255
교육_체험,새별헤이요
교육_체험,서귀포잠수함
교육_체험,알제이 마을체험
교육_체험,오늘은 녹차 족욕
교육_체험,점보빌리지
교육_체험,제주바다체험장
기타,까르페디엠
기타,꽃썸
기타,망고홀릭종달점
기타,바다의향기
기타,봉이네해물짜장
기타,사뿐
기타,아로마제주
기타,제주레아드레스앤카페
기타,제주오메오메
기타,제주이야기(구좌)
기타,진돼지
기타,천지연무태장어 난산본점
기타,청우식당
기타,카페 델보스케
기타,토종흑염소농장
기타,해비치호텔앤드리조트(하노루)
도시탐방,더힐링타임
도시탐방,돈키쥬쥬
도시탐방,제주핫플버스
도시탐방,초콜릿랜드
도시탐방,플레이박스
레저관광,(주)한국오토모빌얼라이언스
레저관광,(주)해마
레저관광,J1카트클럽
레저관광,고스트타운
레저관광,국제리더스클럽
레저관광,김녕왕발통
레저관광,김녕요트투어
레저관광,다이나믹메이즈에피소드3
레저관광,대유 ATV 수렵 사격랜드
레저관광,도두마리나(주)
레저관광,레포츠랜드
레저관광,마라도가는여객선
레저관광,마라도정기여객선(운진항)
레저관광,바구스서핑스쿨
레저관광,비양도 도항선
레저관광,산방산유람선
레저관광,서광카트체험장
레저관광,서귀포다이브
레저관광,서귀포신나는배낚시(천일1호)
레저관광,서피플
레저관광,성산포유람선
레저관광,송악왕발통
레저관광,송악카트체험장
레저관광,쇠소깍배낚시(캡틴호)
레저관광,신흥바다낚시공원
레저관광,오조리레저파크
레저관광,우도잠수함
레저관광,윈드1947 서바이벌
레저관광,이어도관광승마장
레저관광,제주레일바이크
레저관광,제주바다하늘패러글라이딩
레저관광,제주실탄사격장
레저관광,제주제트보트(중문점)
레저관광,제주카약
레저관광,제주패들보드서핑클럽
레저관광,제주해양레저타운
레저관광,중문레져UTV
레저관광,중문승마공원
레저관광,중문오프로드 체험장
레저관광,중문카트장
레저관광,차귀도 달래배낚시
레저관광,차귀도유람선
레저관광,코바다이빙스쿨
레저관광,포니밸리 낙타테마파크
레저관광,하늘여행 행글라이더
레저관광,힐링카약파크 비체올린
맛집_카페,2월22일
맛집_카페,그림카페
맛집_카페,낙지마당
맛집_카페,디저트팩토리
맛집_카페,만조이천쌀밥(성산점)
맛집_카페,맛의고수
맛집_카페,망고레이섭지코지점
맛집_카페,망고레이천지연폭포점
맛집_카페,메종글래드제주뷔페(삼다정)
맛집_카페,생돈우리
맛집_카페,쉬멍해장국
맛집_카페,영주말가든
맛집_카페,제원깡통숯불구이
맛집_카페,제주우리농지킴이 영농조합법인
맛집_카페,환상의짜장
문화관광,건강과성박물관
문화관광,고흐의 정원
문화관광,노형수퍼마켙
문화관광,무비랜드왁스뮤지엄
문화관광,미켈란젤로 인 메타버스
문화관광,빛의벙커
문화관광,세계자동차박물관
문화관광,숨도박물관
문화관광,아트서커스
문화관광,아프리카박물관
문화관광,오설록 티뮤지엄
문화관광,유리박물관
문화관광,제주해양동물박물관
문화관광,테디베어뮤지엄 제주
역사_유적지,삼성혈
온천,산방산탄산온천
음식점,치르메스치킨 함덕점
자연,방림원
자연,산방산
자연,서귀포유람선
자연,주상절리
즐길거리,제주꺼우다
키즈,공룡랜드
키즈,시크릿테마파크
테마파크,노리매테마파크
테마파크,더마파크
테마파크,메이즈랜드
테마파크,베니스랜드
테마파크,본초족욕 수목원테마파크
테마파크,브릭캠퍼스
테마파크,뽀로로앤타요 테마파크
테마파크,상효원
테마파크,생각하는정원(분재예술원)
테마파크,세리월드
테마파크,센트럴파크
테마파크,소인국테마파크
테마파크,쇠소깍산물관광농원
테마파크,스누피가든
테마파크,아이스뮤지엄(수목원테마파크)
테마파크,아쿠아플라넷제주 한화
테마파크,액트몬(신화월드점)
테마파크,액티브파크
테마파크,여미지식물원
테마파크,일출랜드
테마파크,제주돌마을공원
테마파크,제주무민랜드
테마파크,제주민속촌
테마파크,카멜리아힐
테마파크,코코몽에코파크
테마파크,피규어뮤지엄
테마파크,하모씨워킹
테마파크,한림공원
테마파크,허브동산
테마파크,헬로키티아일랜드
테마파크,화조원
휴식_힐링,(주)조선호텔앤리조트
휴식_힐링,봄그리고가을리조트
휴식_힐링,위호텔
휴식_힐링,이니스프리 제주하우스
휴식_힐링,중문마사지
휴식_힐링,카파이풋 족욕
휴식_힐링,테라피샹그릴라
휴식_힐링,토스카나호텔
휴식_힐링,해비치호텔앤드리조트(섬모라)
문화관광,감귤박물관
문화관광,기당미술관
문화관광,서귀포시립기당미술관
문화관광,서귀포천문과학문화관
문화관광,서복전시관
문화관광,소암기념관
문화관광,이중섭미술관
문화관광,제주돌문화공원
자연,대포주상절리
자연,만장굴
자연,비자림
자연,산방산암벽식물지대
자연,성산일출봉
자연,용머리해안
자연,정방폭포
자연,주상절리대
자연,천제연폭포
자연,천지연폭포
휴식_힐링,모구리야영장
휴식_힐링,서귀포치유의숲
